date,supply_id,total_possible_utilization,supply_category_id,del_imps,edges,avg_perf,num_dem_cats,frac_util
1,3845858,49,1,22,4,0,2,0.449
1,3845859,649568,3,148563,258,0.84,14,0.2287
1,3845860,66318,3,44909,8,0.82,2,0.6772
1,3845878,1247,2,169,13,0.46,8,0.1355
1,3845879,9,2,1,1,1,1,0.1111
1,3845888,80,1,0,0,0,0,0
1,3845889,732812,3,59212,64,0.55,9,0.0808
1,3845905,5,NA,0,0,0,0,0
1,3845906,5846,1,542,36,0.18,8,0.0927
1,3845976,359,1,113,36,0.53,4,0.3148
1,3845977,286,1,142,4,0.97,3,0.4965
1,3845978,117,1,6,1,0.83,1,0.0513
1,3845979,381,1,124,8,0.86,3,0.3255
1,3845993,5524886,3,33460,89,0.76,23,0.0061
1,3845999,1760,3,711,65,0.55,14,0.404
1,3846003,3605660,3,165229,237,0.9,31,0.0458
1,3846004,2851,3,268,37,0.94,11,0.094
1,3846015,5556,2,6,2,0.17,2,0.0011
1,3846090,622171,1,6764,99,0.81,34,0.0109
1,3846094,6,1,0,0,0,0,0
1,3846101,2065,1,880,2,0.44,1,0.4262
1,3846113,1838,1,22,4,0.91,2,0.012
1,3846117,441,1,74,6,0.93,2,0.1678
1,3846119,100243,4,5415,14,0.54,3,0.054
1,3846121,50434,4,1271,4,0.66,4,0.0252
1,3846123,15878,1,3,2,1,2,2e-04
1,3846132,1923,3,282,30,0.62,10,0.1466
1,3846144,3903857,1,677410,28,0.71,9,0.1735
1,3846157,26576,3,182,17,0.14,9,0.0068
1,3846160,10192,1,595,12,0.9,12,0.0584
1,3846162,6219,1,3645,6,0.9,4,0.5861
1,3846163,4642,1,1138,60,0.92,18,0.2452
1,3846183,731,1,59,24,0.68,9,0.0807
1,3846205,3,3,1,1,1,1,0.3333
1,3846206,3709,3,3296,21,0.86,14,0.8886
1,3846207,2,3,0,0,0,0,0
1,3846212,27479,3,24166,99,0.96,18,0.8794
1,3846216,2,1,2,1,1,1,1
1,3846249,235210,1,163718,154,0.83,15,0.6961
1,3846252,65113,1,46522,39,0.83,5,0.7145
1,3846257,121048,1,4232,45,0.64,11,0.035
1,3846258,120205,1,6042,47,0.68,10,0.0503
1,3846273,3645048,1,236693,199,0.7,20,0.0649
1,3846283,3290250,4,1215528,203,0.79,32,0.3694
1,3846335,6024,3,4948,90,0.92,15,0.8214
1,3846364,2087,1,83,4,0.87,4,0.0398
1,3846369,184729,1,46992,231,0.45,16,0.2544
1,3846378,198654,1,75782,267,0.39,26,0.3815
1,3846379,111592,1,22703,279,0.4,29,0.2034
1,3846380,165844,1,35006,278,0.4,31,0.2111
1,3846382,81131,1,6582,138,0.46,28,0.0811
1,3846402,13,1,5,2,1,2,0.3846
1,3846441,5726,4,1205,6,0.8,3,0.2104
1,3846455,118839,4,15835,20,0.64,4,0.1332
1,3846478,44830,1,5282,99,0.76,11,0.1178
1,3846489,3942,1,123,16,0.84,7,0.0312
1,3846502,986936,1,433057,301,0.98,26,0.4388
1,3846503,2,1,0,0,0,0,0
1,3846510,109949,1,54939,179,0.86,20,0.4997
1,3846512,129495,2,8618,71,0.52,12,0.0666
1,3846514,98680,2,577,39,0.92,13,0.0058
1,3846525,485860,1,2163,54,0.51,16,0.0045
1,3846533,10,1,1,1,1,1,0.1
1,3846598,145,1,40,13,0.32,5,0.2759
1,3846617,59057,1,29208,207,0.69,26,0.4946
1,3846618,132681,1,64343,280,0.65,28,0.4849
1,3846621,92939,1,23189,235,0.63,28,0.2495
1,3846630,8,1,2,1,0.5,1,0.25
1,3846642,659,1,142,3,0.85,2,0.2155
1,3846645,3811,1,1671,11,0.72,7,0.4385
1,3846652,42729,1,19379,65,0.7,15,0.4535
1,3846653,18927,1,12269,14,0.76,8,0.6482
1,3846654,2368,1,16,6,0.69,4,0.0068
1,3846655,9822,1,3428,6,0.62,5,0.349
1,3846659,24757,1,21,8,0.9,2,8e-04
1,3846660,8093,1,3874,35,0.86,8,0.4787
1,3846661,2672,1,2174,6,0.9,2,0.8136
1,3846667,1534,1,148,19,0.85,4,0.0965
1,3846669,1430,1,967,104,0.87,9,0.6762
1,3846711,578711,1,300512,376,0.65,33,0.5193
1,3846727,212,1,103,4,0.65,2,0.4858
1,3846736,5138,4,393,43,0.53,9,0.0765
1,3846737,6555,3,103,12,0.61,2,0.0157
1,3846745,316,2,38,12,0.55,5,0.1203
1,3846746,505,2,269,30,0.57,10,0.5327
1,3846766,534,1,97,3,0.97,3,0.1816
1,3846772,900,3,194,38,0.41,14,0.2156
1,3846775,1094357,1,94893,166,0.52,38,0.0867
1,3846776,666560,2,15181,65,0.7,24,0.0228
1,3846777,1474654,2,227721,107,0.39,36,0.1544
1,3846783,17780,4,9,2,0.44,2,5e-04
1,3846784,315,1,105,19,0.79,6,0.3333
1,3846860,58,NA,0,0,0,0,0
1,3846862,2432,1,182,20,0.57,6,0.0748
1,3846863,1208,1,7,5,0.43,4,0.0058
1,3846864,6511,1,62,14,0.32,5,0.0095
1,3846866,4489,2,82,10,0.39,6,0.0183
1,3846867,1155,4,5,3,1,3,0.0043
1,3846877,64769,2,23,6,0.78,4,4e-04
1,3846879,1,NA,0,0,0,0,0
1,3846882,132970,2,3328,8,0.7,7,0.025
1,3846883,783238,2,43838,32,0.61,21,0.056
1,3846885,5693795,2,334673,167,0.81,42,0.0588
1,3846907,392549,2,135170,125,0.79,24,0.3443
1,3846908,513,2,132,15,0.74,6,0.2573
1,3846909,11678,2,5581,120,0.48,21,0.4779
1,3846922,412560,4,46935,90,0.38,7,0.1138
1,3846946,260762,2,0,0,0,0,0
1,3846947,60815,2,6,4,0.33,2,1e-04
1,3846952,974,4,4,2,0.5,2,0.0041
1,3846976,26659,1,656,46,0.75,13,0.0246
1,3846977,2456,1,43,8,0.7,4,0.0175
1,3846978,5281,1,114,19,0.32,6,0.0216
1,3847003,18254,4,47,9,0.26,4,0.0026
1,3847019,3217003,4,36984,11,0.07,4,0.0115
1,3847020,830404,4,7925,11,0.06,3,0.0095
1,3847029,6449,1,2483,56,0.75,7,0.385
1,3847064,2598213,4,429395,236,0.45,20,0.1653
